start_id,end_id,weight
CDC_art18,REsp_1556132,1.0
CDC_art18,REsp_1825020,0.8563
CDC_art18,HC_263025,0.7969
CDC_art18,REsp_1111736,0.7969
CDC_art18,AREsp_627782,0.7214
CDC_art18,REsp_1597668,0.6744
CDC_art18,AREsp_1691422,0.618
CDC_art18,REsp_1644405,0.618
CDC_art18,REsp_1060917,0.6476
CDC_art18,AREsp_2154169,0.5849
CDC_art18,REsp_1737415,0.618
CDC_art18,HC_191663,0.618
CDC_art18,REsp_1300606,0.618
CDC_art18,AREsp_1276462,0.5849
CDC_art18,AREsp_92525,0.5473
CDC_art18,REsp_1289795,0.4527
CDC_art18,EREsp_981949,0.4527
CDC_art18,REsp_1067230,0.4527
CDC_art18,REsp_1102578,0.4527
CDC_art18,REsp_1181141,0.4527
CDC_art18,REsp_802832,0.4527
CDC_art18,REsp_1252215,0.4527
CDC_art18,REsp_1576779,0.4527
CDC_art18,HC_115650,0.4527
CDC_art18,AREsp_1724643,0.4527
CDC_art18,AREsp_1066454,0.3899
CDC_art18,REsp_1638034,0.3899
CDC_art18,REsp_1299803,0.3899
CDC_art18,REsp_1898171,0.3899
CDC_art18,REsp_1610821,0.3899
