nodeId:ID,:LABEL,citation_raw,inferred_type,court,authority_weight:float,case_number,origin_state,adjudicating_body,rapporteur,decision_date,cited_ementa
EXT_RESP_1057274,ExternalCitation,"(REsp n. 1.057.274, Segunda Turma, Rel. Ministra Eliana Calmon, Dje 26/2/2010)",Case,STJ,1.0,1.057.274,,Segunda Turma,Ministra Eliana Calmon,26/2/2010,"O dano extrapatrimonial coletivo prescinde da comprovação de dor, de sofrimento e de abalo psicológico, suscetíveis de apreciação na esfera do indivíduo, mas inaplicável aos interesses difusos e coletivos"
EXT_RESP_1568331_MS,ExternalCitation,REsp 1568331/MS,Case,STJ,1.0,,,,,,
EXT_RESP_1_471_569_RJ,ExternalCitation,REsp 1.471.569/RJ,Case,STJ,0.8107,,,,,,
EXT_ARESP_235_553_SP,ExternalCitation,AREsp 235.553/SP,Case,STJ,0.8107,,,,,,
EXT_ARESP_1155520_SP,ExternalCitation,AREsp 1155520/SP,Case,STJ,0.8107,,,,,,
EXT_RESP_1676857_CE,ExternalCitation,REsp 1676857/CE,Case,STJ,0.8107,,,,,,
EXT_RESP_1710487_SP,ExternalCitation,REsp 1710487/SP,Case,STJ,0.8107,,,,,,
EXT_RESP_1_568_244_RJ,ExternalCitation,REsp 1.568.244/RJ,Case,STJ,0.8107,,,,,,
EXT_RESP_1_124_552_RS,ExternalCitation,REsp 1.124.552/RS,Case,STJ,0.8107,,,,,,
EXT_RESP_894_682_RS,ExternalCitation,REsp 894.682/RS,Case,STJ,0.8107,,,,,,
EXT_RESP_N__410_775_PR,ExternalCitation,REsp n° 410.775/PR,Case,STJ,0.8107,,,,,,
EXT_RESP_888_732_SP,ExternalCitation,REsp 888.732/SP,Case,STJ,0.8107,,,,,,
EXT_RESP_683_518_DF,ExternalCitation,REsp 683.518/DF,Case,STJ,0.8107,,,,,,
EXT_ARESP_153_797_SP,ExternalCitation,AREsp 153.797/SP,Case,STJ,0.8107,,,,,,
EXT_RESP_1785652_DF,ExternalCitation,REsp 1785652/DF,Case,STJ,0.8107,,,,,,
EXT_ADI_493_,ExternalCitation,"ADI 493,",ConstitutionalControl,STF,0.8107,,,,,,
EXT_RESP_710_847_RS,ExternalCitation,REsp 710.847/RS,Case,STJ,0.6275,,,,,,
EXT_RESP_495_915_MG,ExternalCitation,REsp 495.915/MG,Case,STJ,0.6275,,,,,,
EXT_RESP_419_298_RS,ExternalCitation,RESP 419.298/RS,Case,STJ,0.6275,,,,,,
EXT_ADIN_2_440,ExternalCitation,ADIN 2.440,ConstitutionalControl,STF,0.6275,,,,,,
EXT_RESP_902_158_RJ,ExternalCitation,REsp 902.158/RJ,Case,STJ,0.4283,,,,,,
EXT_RESP_1_573_930_SC,ExternalCitation,REsp 1.573.930/SC,Case,STJ,0.4283,,,,,,
EXT_RESP_1_229_028,ExternalCitation,REsp 1.229.028,Case,STJ,0.4283,,,,,,
EXT_RESP_1_554_761_RO,ExternalCitation,REsp 1.554.761/RO,Case,STJ,0.4283,,,,,,
EXT_RESP_1_187_972_DF,ExternalCitation,REsp 1.187.972/DF,Case,STJ,0.4283,,,,,,
EXT_ARESP_858_894_SP,ExternalCitation,AREsp 858.894/SP,Case,STJ,0.4283,,,,,,
EXT_ART__34_DO_CDC,ExternalCitation,art. 34 do CDC,Unknown,,0.4283,,,,,,
EXT_ARESP_540_208_SC,ExternalCitation,AREsp 540.208/SC,Case,STJ,0.4283,,,,,,
EXT_RESP_1404861_SC,ExternalCitation,REsp 1404861/SC,Case,STJ,0.4283,,,,,,
EXT_RESP_749_200_RS,ExternalCitation,REsp 749.200/RS,Case,STJ,0.4283,,,,,,
EXT_HC_109956_,ExternalCitation,"HC 109956,",Case,STJ,1.0,,,,,,
EXT_HC_No_111_840_ES,ExternalCitation,HC nº 111.840/ES,Case,STJ,1.0,,,,,,
EXT_HC_178964_DF,ExternalCitation,"(HC 178.964/DF, Quinta Turma, Relatora Ministra Laurita Vaz, DJe de 22.8.2011)",Case,STJ,0.7982,178.964,DF,Quinta Turma,a Ministra Laurita Vaz,22.8.2011,
EXT_HC_179086_SP,ExternalCitation,"(HC 179.086/SP, Quinta Turma, Relator Ministro Gilson Dipp, DJe de 14.4.2011)",Case,STJ,0.7982,179.086,SP,Quinta Turma,Ministro Gilson Dipp,14.4.2011,
EXT_HC_97677_PR,ExternalCitation,HC 97677/PR,Case,STJ,0.7982,,,,,,
EXT_HC_224_578_SP,ExternalCitation,HC 224.578/SP,Case,STJ,0.7982,,,,,,
EXT_HC_186_626_SP,ExternalCitation,HC 186.626/SP,Case,STJ,0.7982,,,,,,
