nodeId,law,article,sub_ref,sub_type,text,parent_id
CDC_art3_par1,CDC,3,§ 1°,paragraph,"§ 1° Produto é qualquer bem, móvel ou imóvel, material ou imaterial.",CDC_art3
CDC_art3_par2,CDC,3,§ 2°,paragraph,"§ 2° Serviço é qualquer atividade fornecida no mercado de consumo, mediante remuneração, inclusive as de natureza bancária, financeira, de crédito e securitária, salvo as decorrentes das relações de caráter trabalhista.",CDC_art3
CDC_art5_par1,CDC,5,§ 1°,paragraph,§ 1° (Vetado).,CDC_art5
CDC_art5_par2,CDC,5,§ 2°,paragraph,§ 2°(Vetado).,CDC_art5
CDC_art8_par1,CDC,8,§ 1°,paragraph,"§ 1°Em se tratando de produto industrial, ao fabricante cabe prestar as informações a que se refere este artigo, através de impressos apropriados que devam acompanhar o produto.(Redação dada pela Lei n° 13.486, de 2017)",CDC_art8
CDC_art8_par2,CDC,8,§ 2°,paragraph,"§ 2°O fornecedor deverá higienizar os equipamentos e utensílios utilizados no fornecimento de produtos ou serviços, ou colocados à disposição do consumidor, e informar, de maneira ostensiva e adequada, quando for o caso, sobre o risco de contaminação.(Incluído pela Lei n° 13.486, de 2017)",CDC_art8
CDC_art10_par1,CDC,10,§ 1°,paragraph,"§ 1° O fornecedor de produtos e serviços que, posteriormente à sua introdução no mercado de consumo, tiver conhecimento da periculosidade que apresentem, deverá comunicar o fato imediatamente às autoridades competentes e aos consumidores, mediante anúncios publicitários.",CDC_art10
CDC_art10_par2,CDC,10,§ 2°,paragraph,"§ 2° Os anúncios publicitários a que se refere o parágrafo anterior serão veiculados na imprensa, rádio e televisão, às expensas do fornecedor do produto ou serviço.",CDC_art10
CDC_art10_par3,CDC,10,§ 3°,paragraph,"§ 3° Sempre que tiverem conhecimento de periculosidade de produtos ou serviços à saúde ou segurança dos consumidores, a União, os Estados, o Distrito Federal e os Municípios deverão informá-los a respeito.",CDC_art10
CDC_art12_par1,CDC,12,§ 1°,paragraph,"§ 1° O produto é defeituoso quando não oferece a segurança que dele legitimamente se espera, levando-se em consideração as circunstâncias relevantes, entre as quais:",CDC_art12
CDC_art12_par1_incI,CDC,12,I,incise,I - sua apresentação;,CDC_art12_par1
CDC_art12_par1_incII,CDC,12,II,incise,II - o uso e os riscos que razoavelmente dele se esperam;,CDC_art12_par1
CDC_art12_par1_incIII,CDC,12,III,incise,III - a época em que foi colocado em circulação.,CDC_art12_par1
CDC_art12_par2,CDC,12,§ 2°,paragraph,§ 2° O produto não é considerado defeituoso pelo fato de outro de melhor qualidade ter sido colocado no mercado.,CDC_art12
CDC_art12_par3,CDC,12,§ 3°,paragraph,"§ 3° O fabricante, o construtor, o produtor ou importador só não será responsabilizado quando provar:",CDC_art12
CDC_art12_par3_incI,CDC,12,I,incise,I - que não colocou o produto no mercado;,CDC_art12_par3
CDC_art12_par3_incII,CDC,12,II,incise,"II - que, embora haja colocado o produto no mercado, o defeito inexiste;",CDC_art12_par3
CDC_art12_par3_incIII,CDC,12,III,incise,III - a culpa exclusiva do consumidor ou de terceiro.,CDC_art12_par3
CDC_art14_par1,CDC,14,§ 1°,paragraph,"§ 1° O serviço é defeituoso quando não fornece a segurança que o consumidor dele pode esperar, levando-se em consideração as circunstâncias relevantes, entre as quais:",CDC_art14
CDC_art14_par1_incI,CDC,14,I,incise,I - o modo de seu fornecimento;,CDC_art14_par1
CDC_art14_par1_incII,CDC,14,II,incise,II - o resultado e os riscos que razoavelmente dele se esperam;,CDC_art14_par1
CDC_art14_par1_incIII,CDC,14,III,incise,III - a época em que foi fornecido.,CDC_art14_par1
CDC_art14_par2,CDC,14,§ 2°,paragraph,§ 2° O serviço não é considerado defeituoso pela adoção de novas técnicas.,CDC_art14
CDC_art14_par3,CDC,14,§ 3°,paragraph,§ 3° O fornecedor de serviços só não será responsabilizado quando provar:,CDC_art14
CDC_art14_par3_incI,CDC,14,I,incise,"I - que, tendo prestado o serviço, o defeito inexiste;",CDC_art14_par3
CDC_art14_par3_incII,CDC,14,II,incise,II - a culpa exclusiva do consumidor ou de terceiro.,CDC_art14_par3
CDC_art14_par4,CDC,14,§ 4°,paragraph,§ 4° A responsabilidade pessoal dos profissionais liberais será apurada mediante a verificação de culpa.,CDC_art14
CDC_art18_par1,CDC,18,§ 1°,paragraph,"§ 1° Não sendo o vício sanado no prazo máximo de trinta dias, pode o consumidor exigir, alternativamente e à sua escolha:",CDC_art18
CDC_art18_par1_incI,CDC,18,I,incise,"I - a substituição do produto por outro da mesma espécie, em perfeitas condições de uso;",CDC_art18_par1
CDC_art18_par1_incII,CDC,18,II,incise,"II - a restituição imediata da quantia paga, monetariamente atualizada, sem prejuízo de eventuais perdas e danos;",CDC_art18_par1
CDC_art18_par1_incIII,CDC,18,III,incise,III - o abatimento proporcional do preço.,CDC_art18_par1
CDC_art18_par2,CDC,18,§ 2°,paragraph,"§ 2° Poderão as partes convencionar a redução ou ampliação do prazo previsto no parágrafo anterior, não podendo ser inferior a sete nem superior a cento e oitenta dias. Nos contratos de adesão, a cláusula de prazo deverá ser convencionada em separado, por meio de manifestação expressa do consumidor.",CDC_art18
CDC_art18_par3,CDC,18,§ 3°,paragraph,"§ 3° O consumidor poderá fazer uso imediato das alternativas do § 1° deste artigo sempre que, em razão da extensão do vício, a substituição das partes viciadas puder comprometer a qualidade ou características do produto, diminuir-lhe o valor ou se tratar de produto essencial.",CDC_art18
CDC_art18_par4,CDC,18,§ 4°,paragraph,"§ 4° Tendo o consumidor optado pela alternativa do inciso I do § 1° deste artigo, e não sendo possível a substituição do bem, poderá haver substituição por outro de espécie, marca ou modelo diversos, mediante complementação ou restituição de eventual diferença de preço, sem prejuízo do disposto nos incisos II e III do § 1° deste artigo.",CDC_art18
CDC_art18_par5,CDC,18,§ 5°,paragraph,"§ 5° No caso de fornecimento de produtos in natura, será responsável perante o consumidor o fornecedor imediato, exceto quando identificado claramente seu produtor.",CDC_art18
CDC_art18_par6,CDC,18,§ 6°,paragraph,§ 6° São impróprios ao uso e consumo:,CDC_art18
CDC_art18_par6_incI,CDC,18,I,incise,I - os produtos cujos prazos de validade estejam vencidos;,CDC_art18_par6
CDC_art18_par6_incII,CDC,18,II,incise,"II - os produtos deteriorados, alterados, adulterados, avariados, falsificados, corrompidos, fraudados, nocivos à vida ou à saúde, perigosos ou, ainda, aqueles em desacordo com as normas regulamentares de fabricação, distribuição ou apresentação;",CDC_art18_par6
CDC_art18_par6_incIII,CDC,18,III,incise,"III - os produtos que, por qualquer motivo, se revelem inadequados ao fim a que se destinam.",CDC_art18_par6
CDC_art19_par1,CDC,19,§ 1°,paragraph,§ 1° Aplica-se a este artigo o disposto no § 4° do artigo anterior.,CDC_art19
