start_id,end_id,weight
STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t11,CDC_art14,1.0
STJThesis_EDICAO_N__165__DIREITO_DO_CONSUMIDOR_-_IX_t10,CDC_art6,1.0
Topic_52,CDC_art52,1.0
STJThesis_EDICAO_N__39__DIREITO_DO_CONSUMIDOR_I_t4,CDC_art88,1.0
STJThesis_EDICAO_N__39__DIREITO_DO_CONSUMIDOR_I_t4,CDC_art13,1.0
STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t12,CDC_art26,1.0
STJThesis_EDICAO_N__165__DIREITO_DO_CONSUMIDOR_-_IX_t10,CDC_art6,1.0
Topic_40,CDC_art43,1.0
Topic_41,CDC_art43,1.0
Topic_52,CDC_art52,1.0
STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t11,CDC_art14,1.0
STJThesis_EDICAO_N__160__DIREITO_DO_CONSUMIDOR_-_IV_t3,CDC_art34,1.0
STJThesis_EDICAO_N__163__DIREITO_DO_CONSUMIDOR_-_VII_t9,CDC_art12,1.0
STJThesis_EDICAO_N__59__CADASTRO_DE_INADIMPLENTES_t18,CDC_art27,1.0
STJThesis_EDICAO_N__83__BANCARIO_-_II_t5,CDC_art26,1.0
STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t17,CDC_art26,1.0
STJThesis_EDICAO_N__74__DIREITO_DO_CONSUMIDOR_III_t8,CDC_art27,1.0
STJThesis_EDICAO_N__39__DIREITO_DO_CONSUMIDOR_I_t4,CDC_art88,1.0
STJThesis_EDICAO_N__39__DIREITO_DO_CONSUMIDOR_I_t4,CDC_art13,1.0
STJThesis_EDICAO_N__39__DIREITO_DO_CONSUMIDOR_I_t10,CDC_art17,1.0
STJThesis_EDICAO_N__163__DIREITO_DO_CONSUMIDOR_-_VII_t9,CDC_art12,1.0
Topic_449,CDC_art26,1.0
STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t11,CDC_art14,1.0
STJThesis_EDICAO_N__74__DIREITO_DO_CONSUMIDOR_III_t5,CDC_art14,1.0
STJThesis_EDICAO_N__39__DIREITO_DO_CONSUMIDOR_I_t4,CDC_art88,1.0
STJThesis_EDICAO_N__39__DIREITO_DO_CONSUMIDOR_I_t4,CDC_art13,1.0
STJThesis_EDICAO_N__160__DIREITO_DO_CONSUMIDOR_-_IV_t3,CDC_art34,1.0
Topic_153,CDC_art27,1.0
Topic_154,CDC_art27,1.0
Topic_155,CDC_art27,1.0
STJThesis_EDICAO_N__39__DIREITO_DO_CONSUMIDOR_I_t4,CDC_art88,1.0
STJThesis_EDICAO_N__39__DIREITO_DO_CONSUMIDOR_I_t4,CDC_art13,1.0
STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t12,CDC_art26,1.0
Topic_449,CDC_art26,1.0
STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t12,CDC_art26,1.0
STJThesis_EDICAO_N__39__DIREITO_DO_CONSUMIDOR_I_t4,CDC_art88,1.0
STJThesis_EDICAO_N__39__DIREITO_DO_CONSUMIDOR_I_t4,CDC_art13,1.0
STJThesis_EDICAO_N__160__DIREITO_DO_CONSUMIDOR_-_IV_t3,CDC_art34,1.0
STJThesis_EDICAO_N__83__BANCARIO_-_II_t5,CDC_art26,1.0
STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t12,CDC_art26,1.0
STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t17,CDC_art26,1.0
Topic_449,CDC_art26,1.0
STJThesis_EDICAO_N__59__CADASTRO_DE_INADIMPLENTES_t18,CDC_art27,1.0
STJThesis_EDICAO_N__83__BANCARIO_-_II_t5,CDC_art26,1.0
STJThesis_EDICAO_N__39__DIREITO_DO_CONSUMIDOR_I_t10,CDC_art17,1.0
STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t17,CDC_art26,1.0
STJThesis_EDICAO_N__74__DIREITO_DO_CONSUMIDOR_III_t8,CDC_art27,1.0
STJThesis_EDICAO_N__161__DIREITO_DO_CONSUMIDOR_-_V_t3,CDC_art27,1.0
Topic_155,CDC_art27,1.0
Topic_153,CDC_art27,1.0
Topic_154,CDC_art27,1.0
Topic_449,CDC_art26,1.0
STJThesis_EDICAO_N__39__DIREITO_DO_CONSUMIDOR_I_t10,CDC_art17,1.0
