start_id,end_id,weight
AREsp_1413621,EXT_RESP_1057274,1.0
AREsp_1413621,EXT_RESP_1568331_MS,1.0
REsp_1807470,EXT_RESP_1_471_569_RJ,0.8107
REsp_1807470,EXT_ARESP_235_553_SP,0.8107
REsp_1807470,EXT_ARESP_1155520_SP,0.8107
REsp_1807470,EXT_RESP_1676857_CE,0.8107
REsp_1807470,EXT_RESP_1710487_SP,0.8107
REsp_1807470,EXT_RESP_1_568_244_RJ,0.8107
REsp_1807470,EXT_RESP_1_124_552_RS,0.8107
REsp_1807470,EXT_RESP_894_682_RS,0.8107
REsp_1807470,EXT_RESP_N__410_775_PR,0.8107
REsp_1807470,EXT_RESP_888_732_SP,0.8107
REsp_1807470,EXT_RESP_683_518_DF,0.8107
REsp_1807470,EXT_ARESP_153_797_SP,0.8107
REsp_1807470,EXT_RESP_1785652_DF,0.8107
REsp_1807470,EXT_ADI_493_,0.8107
REsp_850718,EXT_RESP_710_847_RS,0.6275
REsp_850718,EXT_RESP_495_915_MG,0.6275
REsp_850718,EXT_RESP_419_298_RS,0.6275
REsp_850718,EXT_ADIN_2_440,0.6275
REsp_1469599,EXT_RESP_902_158_RJ,0.4283
REsp_1469599,EXT_RESP_1_573_930_SC,0.4283
REsp_1469599,EXT_RESP_1_229_028,0.4283
REsp_1469599,EXT_RESP_1_554_761_RO,0.4283
REsp_1469599,EXT_RESP_1_187_972_DF,0.4283
REsp_1469599,EXT_ARESP_858_894_SP,0.4283
REsp_1469599,EXT_ART__34_DO_CDC,0.4283
AREsp_645649,EXT_ARESP_540_208_SC,0.4283
AREsp_645649,EXT_RESP_1404861_SC,0.4283
AREsp_645649,EXT_RESP_749_200_RS,0.4283
HC_301017,EXT_HC_109956_,1.0
HC_301017,EXT_HC_N__111_840_ES,1.0
HC_246868,EXT_HC_178964_DF,0.7982
HC_246868,EXT_HC_179086_SP,0.7982
HC_246868,EXT_HC_109956_,0.7982
HC_246868,EXT_HC_97677_PR,0.7982
HC_246868,EXT_HC_224_578_SP,0.7982
