start_id,end_id,weight
CDC_art3,CDC_art3_par1,1.0
CDC_art3,CDC_art3_par2,1.0
CDC_art5,CDC_art5_par1,1.0
CDC_art5,CDC_art5_par2,1.0
CDC_art8,CDC_art8_par1,1.0
CDC_art8,CDC_art8_par2,1.0
CDC_art10,CDC_art10_par1,1.0
CDC_art10,CDC_art10_par2,1.0
CDC_art10,CDC_art10_par3,1.0
CDC_art12,CDC_art12_par1,1.0
CDC_art12,CDC_art12_par2,1.0
CDC_art12,CDC_art12_par3,1.0
CDC_art14,CDC_art14_par1,1.0
CDC_art14,CDC_art14_par2,1.0
CDC_art14,CDC_art14_par3,1.0
CDC_art14,CDC_art14_par4,1.0
CDC_art18,CDC_art18_par1,1.0
CDC_art18,CDC_art18_par2,1.0
CDC_art18,CDC_art18_par3,1.0
CDC_art18,CDC_art18_par4,1.0
CDC_art18,CDC_art18_par5,1.0
CDC_art18,CDC_art18_par6,1.0
CDC_art19,CDC_art19_par1,1.0
CDC_art19,CDC_art19_par2,1.0
CDC_art20,CDC_art20_par1,1.0
CDC_art20,CDC_art20_par2,1.0
CDC_art25,CDC_art25_par1,1.0
CDC_art25,CDC_art25_par2,1.0
CDC_art26,CDC_art26_par1,1.0
CDC_art26,CDC_art26_par2,1.0
CDC_art26,CDC_art26_par3,1.0
CDC_art28,CDC_art28_par1,1.0
CDC_art28,CDC_art28_par2,1.0
CDC_art28,CDC_art28_par3,1.0
CDC_art28,CDC_art28_par4,1.0
CDC_art28,CDC_art28_par5,1.0
