start_id,end_id,weight
CDC_art1,Topic_28,1.0
CDC_art1,Topic_29,1.0
CDC_art1,Topic_24,1.0
CDC_art1,Topic_25,1.0
CDC_art1,Topic_26,1.0
CDC_art1,Topic_27,1.0
CDC_art1,Topic_30,1.0
CDC_art1,Topic_31,1.0
CDC_art1,Topic_32,1.0
CDC_art1,Topic_33,1.0
CDC_art1,Topic_34,1.0
CDC_art1,Topic_35,1.0
CDC_art1,Topic_36,1.0
CDC_art2,Topic_76,1.0
CDC_art2,Topic_77,1.0
CDC_art2,Topic_312,1.0
CDC_art3,Topic_76,1.0
CDC_art3,Topic_77,1.0
CDC_art4,Topic_28,1.0
CDC_art4,Topic_29,1.0
CDC_art4,Topic_710,1.0
CDC_art4,Topic_722,1.0
CDC_art4,Topic_735,1.0
CDC_art4,Topic_793,1.0
CDC_art4,Topic_806,1.0
CDC_art4,Topic_938,1.0
CDC_art4,Topic_24,1.0
CDC_art4,Topic_25,1.0
CDC_art4,Topic_26,1.0
CDC_art4,Topic_27,1.0
CDC_art4,Topic_30,1.0
CDC_art4,Topic_31,1.0
CDC_art4,Topic_32,1.0
CDC_art4,Topic_33,1.0
CDC_art4,Topic_34,1.0
CDC_art4,Topic_35,1.0
CDC_art4,Topic_36,1.0
CDC_art4,Topic_52,1.0
CDC_art4,Topic_200,1.0
CDC_art4,Topic_480,1.0
CDC_art4,Topic_481,1.0
CDC_art4,Topic_246,1.0
CDC_art4,Topic_247,1.0
CDC_art6,Topic_24,1.0
CDC_art6,Topic_25,1.0
CDC_art6,Topic_26,1.0
CDC_art6,Topic_27,1.0
CDC_art6,Topic_28,1.0
CDC_art6,Topic_29,1.0
CDC_art6,Topic_30,1.0
CDC_art6,Topic_31,1.0
CDC_art6,Topic_32,1.0
CDC_art6,Topic_33,1.0
CDC_art6,Topic_34,1.0
CDC_art6,Topic_35,1.0
CDC_art6,Topic_36,1.0
CDC_art6,Topic_37,1.0
CDC_art6,Topic_38,1.0
CDC_art6,Topic_40,1.0
CDC_art6,Topic_41,1.0
CDC_art6,Topic_52,1.0
CDC_art6,Topic_76,1.0
CDC_art6,Topic_77,1.0
CDC_art6,Topic_87,1.0
CDC_art6,Topic_246,1.0
CDC_art6,Topic_247,1.0
CDC_art6,Topic_293,1.0
CDC_art6,Topic_312,1.0
CDC_art6,Topic_480,1.0
CDC_art6,Topic_481,1.0
CDC_art6,Topic_648,1.0
CDC_art6,Topic_685,0.8
CDC_art6,Topic_710,1.0
CDC_art6,Topic_958,1.0
CDC_art7,Topic_515,1.0
CDC_art12,Topic_449,1.0
CDC_art14,Topic_153,1.0
CDC_art14,Topic_154,1.0
CDC_art14,Topic_155,1.0
CDC_art14,Topic_466,1.0
CDC_art17,Topic_466,1.0
CDC_art18,Topic_449,1.0
CDC_art18,Topic_200,1.0
CDC_art20,Topic_648,1.0
CDC_art22,Topic_76,1.0
CDC_art22,Topic_77,1.0
CDC_art26,Topic_449,1.0
CDC_art27,Topic_155,1.0
CDC_art27,Topic_153,1.0
CDC_art27,Topic_154,1.0
CDC_art27,Topic_449,1.0
CDC_art27,Topic_515,1.0
CDC_art30,Topic_938,1.0
CDC_art30,Topic_246,1.0
CDC_art30,Topic_247,1.0
