start_id,end_id,weight
CDC_art1,AREsp_1413621,1.0
CDC_art1,REsp_1807470,0.8107
CDC_art1,REsp_850718,0.6275
CDC_art1,REsp_1469599,0.4283
CDC_art1,AREsp_645649,0.4283
CDC_art1,AREsp_829550,0.4283
CDC_art1,REsp_1639320,0.2702
CDC_art1,AREsp_830448,0.2702
CDC_art1,REsp_1676857,0.2702
CDC_art2,HC_301017,1.0
CDC_art2,HC_246868,0.7982
CDC_art2,AREsp_915274,0.7835
CDC_art2,HC_178608,0.7516
CDC_art2,AREsp_526884,0.7341
CDC_art2,AREsp_907747,0.6953
CDC_art2,AREsp_331972,0.6736
CDC_art2,AREsp_705249,0.65
CDC_art2,REsp_1162649,0.65
CDC_art2,AREsp_1639752,0.6242
CDC_art2,AREsp_1453487,0.6242
CDC_art2,REsp_1954280,0.5956
CDC_art2,AREsp_104128,0.5956
CDC_art2,AREsp_1617056,0.5637
CDC_art2,AREsp_681526,0.5637
CDC_art2,REsp_1315625,0.5637
CDC_art2,AREsp_442634,0.5637
CDC_art2,AREsp_524822,0.5637
CDC_art2,REsp_1217115,0.5637
CDC_art2,REsp_1508977,0.5275
CDC_art2,REsp_1608700,0.5275
CDC_art2,AREsp_736993,0.5275
CDC_art2,REsp_1084815,0.5275
CDC_art2,REsp_1705620,0.5275
CDC_art2,AREsp_399309,0.5275
CDC_art2,AREsp_405805,0.5275
CDC_art2,AREsp_998394,0.4857
CDC_art2,AREsp_1324284,0.4857
CDC_art2,REsp_1754065,0.4857
CDC_art2,AREsp_1299259,0.4857
CDC_art3,REsp_1536786,1.0
CDC_art3,REsp_1501187,0.9549
CDC_art3,REsp_1188926,0.7862
CDC_art3,REsp_1433544,0.7274
CDC_art3,AREsp_1486366,0.7274
CDC_art3,REsp_1216301,0.68
CDC_art3,AREsp_418711,0.653
CDC_art3,AREsp_773241,0.6231
CDC_art3,REsp_1070863,0.5897
CDC_art3,REsp_1291792,0.5897
CDC_art3,REsp_1298449,0.5897
CDC_art3,REsp_1300161,0.5518
CDC_art3,REsp_1036042,0.5518
CDC_art3,AREsp_160243,0.5518
CDC_art3,REsp_1620953,0.5081
CDC_art3,REsp_1294363,0.5081
CDC_art3,REsp_1099380,0.5081
CDC_art3,REsp_1316921,0.5081
CDC_art3,AREsp_762095,0.5081
CDC_art3,REsp_1281023,0.5081
CDC_art3,REsp_1822790,0.5081
CDC_art3,AREsp_998394,0.4564
CDC_art3,REsp_1249991,0.4564
CDC_art3,AREsp_499711,0.4564
CDC_art3,AREsp_1410527,0.4564
CDC_art3,REsp_1081366,0.4564
CDC_art3,REsp_1134857,0.4564
CDC_art3,Ag_1338941,0.4564
CDC_art3,REsp_1291723,0.4564
CDC_art3,REsp_1412142,0.4564
CDC_art4,REsp_1889704,1.0
CDC_art4,AREsp_1180913,0.836
CDC_art4,REsp_1188105,0.8217
CDC_art4,AREsp_850636,0.6934
CDC_art4,EREsp_1876513,0.6934
CDC_art4,AREsp_1691422,0.6131
CDC_art4,EREsp_1848648,0.5803
CDC_art4,REsp_1711182,0.543
CDC_art4,REsp_1103826,0.543
CDC_art4,REsp_866840,0.543
CDC_art4,AREsp_1242646,0.5
CDC_art4,REsp_1846123,0.5
CDC_art4,REsp_1862324,0.4491
CDC_art4,AREsp_796319,0.4491
CDC_art4,REsp_1444469,0.4491
CDC_art4,REsp_1178786,0.4491
CDC_art4,REsp_1594968,0.4491
CDC_art4,AREsp_1083996,0.4491
CDC_art4,REsp_1327773,0.4491
CDC_art4,REsp_1074799,0.4491
CDC_art4,REsp_1787492,0.4491
CDC_art4,REsp_1502509,0.4491
CDC_art4,AREsp_1332688,0.4491
CDC_art4,REsp_1984944,0.4491
CDC_art4,AREsp_416869,0.3869
CDC_art4,AREsp_1394927,0.3869
CDC_art4,Ag_1292328,0.3869
CDC_art4,AREsp_155681,0.3869
CDC_art4,REsp_1447301,0.3869
CDC_art4,REsp_1377911,0.3869
CDC_art5,REsp_1903920,1.0
CDC_art5,REsp_1362022,0.3869
CDC_art5,REsp_1568293,0.3869
CDC_art6,REsp_1041599,0.9848
CDC_art6,REsp_1203156,0.9808
CDC_art6,REsp_1035191,1.0
CDC_art6,AREsp_774928,0.9848
CDC_art6,REsp_1024872,0.9465
CDC_art6,REsp_1473448,0.9768
CDC_art6,REsp_977805,0.9274
CDC_art6,AREsp_1270634,0.9119
CDC_art6,AREsp_1761544,0.9065
CDC_art6,REsp_1692359,0.901
CDC_art6,AREsp_1566799,0.901
CDC_art6,REsp_1688741,0.8837
CDC_art6,REsp_1045680,0.8776
CDC_art6,AREsp_315641,0.865
CDC_art6,Ag_1145680,0.865
CDC_art6,AREsp_1999745,0.865
CDC_art6,AREsp_792114,0.8585
CDC_art6,REsp_1823842,0.8448
CDC_art6,AREsp_1510488,0.8517
CDC_art6,REsp_1291792,0.8376
CDC_art6,AREsp_1164537,0.8302
CDC_art6,AREsp_667285,0.8302
CDC_art6,AREsp_1858865,0.7895
CDC_art6,AREsp_529623,0.8226
CDC_art6,AREsp_871158,0.8148
CDC_art6,AREsp_1373360,0.8148
CDC_art6,AREsp_881689,0.7982
CDC_art6,AREsp_733825,0.7982
CDC_art6,REsp_1005367,0.7613
CDC_art6,AREsp_1654934,0.7711
CDC_art7,AREsp_100595,1.0
CDC_art7,AREsp_107660,0.9136
CDC_art7,AREsp_89463,0.904
CDC_art7,AREsp_129103,0.8261
CDC_art7,AREsp_123952,0.5361
CDC_art7,REsp_1352851,0.4968
CDC_art7,REsp_947721,0.4968
CDC_art7,EAREsp_113560,0.4199
CDC_art7,Rcl_19753,0.4199
CDC_art7,EAREsp_119973,0.3866
CDC_art7,REsp_1214318,0.3866
