:START_ID,:END_ID,:TYPE,weight:float
CDC_art18,CC_ADI_5158,CONTROLLED_BY,1.0
CDC_art18,STJThesis_EDICAO_N__83__BANCARIO_-_II_t6,SUMMARIZED_BY_STJ_THESIS,0.9
CDC_art18,STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t5,SUMMARIZED_BY_STJ_THESIS,0.9
CDC_art18,STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t6,SUMMARIZED_BY_STJ_THESIS,0.9
CDC_art18,STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t12,SUMMARIZED_BY_STJ_THESIS,0.9
STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t12,CDC_art26,CITES_ARTICLE,1.0
CDC_art18,STJThesis_EDICAO_N__74__DIREITO_DO_CONSUMIDOR_III_t18,SUMMARIZED_BY_STJ_THESIS,0.9
CDC_art18,STJThesis_EDICAO_N__99__DOS_CRIMES_CONTRA_A_ORDEM_TRIBUTARIA_ECONOMICA_E_CONTRA_AS_RELACOES_DE_CONSUMO_-_II_t9,SUMMARIZED_BY_STJ_THESIS,0.9
CDC_art18,STJThesis_EDICAO_N__189__EMBARGOS_DE_DECLARACAO_I_t7,SUMMARIZED_BY_STJ_THESIS,0.9
CDC_art18,Topic_449,INTERPRETED_BY_BINDING_THESIS,1.0
Topic_449,CDC_art26,CITES_ARTICLE,1.0
CDC_art18,Topic_200,INTERPRETED_BY_BINDING_THESIS,1.0
CDC_art18,REsp_1556132,INTERPRETED_BY_LEADING_CASE,1.0
CDC_art18,REsp_1825020,INTERPRETED_BY_LEADING_CASE,0.8563
CDC_art18,HC_263025,INTERPRETED_BY_LEADING_CASE,0.7969
CDC_art18,REsp_1111736,INTERPRETED_BY_LEADING_CASE,0.7969
CDC_art18,AREsp_627782,INTERPRETED_BY_LEADING_CASE,0.7214
CDC_art18,REsp_1597668,INTERPRETED_BY_LEADING_CASE,0.6744
CDC_art18,AREsp_1691422,INTERPRETED_BY_LEADING_CASE,0.618
CDC_art18,REsp_1644405,INTERPRETED_BY_LEADING_CASE,0.618
CDC_art18,REsp_1060917,INTERPRETED_BY_LEADING_CASE,0.6476
CDC_art18,AREsp_2154169,INTERPRETED_BY_LEADING_CASE,0.5849
CDC_art18,REsp_1737415,INTERPRETED_BY_LEADING_CASE,0.618
CDC_art18,HC_191663,INTERPRETED_BY_LEADING_CASE,0.618
CDC_art18,REsp_1300606,INTERPRETED_BY_LEADING_CASE,0.618
CDC_art18,AREsp_1276462,INTERPRETED_BY_LEADING_CASE,0.5849
CDC_art18,AREsp_92525,INTERPRETED_BY_LEADING_CASE,0.5473
CDC_art18,REsp_1289795,INTERPRETED_BY_LEADING_CASE,0.4527
CDC_art18,EREsp_981949,INTERPRETED_BY_LEADING_CASE,0.4527
CDC_art18,REsp_1067230,INTERPRETED_BY_LEADING_CASE,0.4527
CDC_art18,REsp_1102578,INTERPRETED_BY_LEADING_CASE,0.4527
CDC_art18,REsp_1181141,INTERPRETED_BY_LEADING_CASE,0.4527
CDC_art18,REsp_802832,INTERPRETED_BY_LEADING_CASE,0.4527
CDC_art18,REsp_1252215,INTERPRETED_BY_LEADING_CASE,0.4527
CDC_art18,REsp_1576779,INTERPRETED_BY_LEADING_CASE,0.4527
CDC_art18,HC_115650,INTERPRETED_BY_LEADING_CASE,0.4527
CDC_art18,AREsp_1724643,INTERPRETED_BY_LEADING_CASE,0.4527
CDC_art18,AREsp_1066454,INTERPRETED_BY_LEADING_CASE,0.3899
CDC_art18,REsp_1638034,INTERPRETED_BY_LEADING_CASE,0.3899
CDC_art18,REsp_1299803,INTERPRETED_BY_LEADING_CASE,0.3899
CDC_art18,REsp_1898171,INTERPRETED_BY_LEADING_CASE,0.3899
CDC_art18,REsp_1610821,INTERPRETED_BY_LEADING_CASE,0.3899
CDC_art18,AREsp_1779513,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,AREsp_2124429,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,REsp_2008038,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,AREsp_2162083,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,AREsp_1992996,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,REsp_1928190,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,REsp_1991040,INTERPRETED_BY_ISOLATED_CASE,0.3
CDC_art18,AREsp_1938629,INTERPRETED_BY_ISOLATED_CASE,0.3
